trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999980000006666}",20,0,-109.53557427347758,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999920000106667}",20,0,-115.21096317607146,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.999982000054}",20,0,-32.91522339967038,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9999680001706663}",30,0,-279.8858079394114,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.9999500004166653}",30,0,-204.61828311021335,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-129.37442433103865,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9999020016006562}",30,0,-121.20440411113528,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9998720027306434}",25,0,-132.26853775941342,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-177.65181733426223,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,0,-76.56842031121887,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9997580097605092}",25,0,-135.8140529280014,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9997120138237345}",20,0,-107.08137291455823,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9996620190402377}",25,0,-132.96037636838292,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9996080256099974}",25,0,-87.27086258159648,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
